1;DH_CRIACAO;ID_META;DS_TITULO;DS_BANDEIRA;
309;30/05/2023;xK415mPNyW;Inscrito pós graduação D2;UNIASSELVI;
310;30/05/2023;fxED54s403;Inscrito pós graduação D3;UNIASSELVI;
311;30/05/2023;1QDitX2322;Inscrito pós graduação D6;UNIASSELVI;
312;30/05/2023;4v6oNYu121;Pré-Inscrito pós graduação D0;UNIASSELVI;
313;30/05/2023;PU52nWEMGY;Pré-Inscrito pós graduação D1;UNIASSELVI;
314;30/05/2023;TqQEkhIb1o;Pré-Inscrito pós graduação D2;UNIASSELVI;
315;30/05/2023;Qa7oHVytUo;Pré-Inscrito pós graduação D5;UNIASSELVI;
316;30/05/2023;t13Do7lAff;Campanha Incentivada Maio 2023/1;UNIASSELVI;
317;31/05/2023;L0rDw48MaR;ALUNO 24 HORAS INATIVO;UNIASSELVI;
318;31/05/2023;94cfGDohNw;Célula de Onboarding HSM 001x;UNIASSELVI;
319;13/06/2023;2TDgfriGuE;Prorrogação Av4 D1 e D2 - 13/06;UNIASSELVI;
320;21/06/2023;Ap8Yu9z9nE;cobranca_202306298467;UNIASSELVI;
321;22/06/2023;ioviSY9ZPv;Pré-inscrito Graduação EAD;UNIASSELVI;
322;22/06/2023;OqbwWyAT7g;Pré-inscrito Graduação EAD - C/ UTM;UNIASSELVI;
323;26/06/2023;3Cy4NB3ilw;Retenção;UNIASSELVI;
324;27/06/2023;sEBtC2dqIE;Tutor Mentor - Atendimento;UNIASSELVI;
325;28/06/2023;cZztgLGzSZ;Tutor Mentor - Onboarding;UNIASSELVI;
326;28/06/2023;FDl73zuzlM;retencao_uniasselvi_continuo;UNIASSELVI;
327;29/06/2023;GzKRAqXDQ6;Graduação EAD - Campanha 30.06.2023;UNIASSELVI;
328;30/06/2023;FUjkVHblUo;WhatsApp_01_Rematrícula Antecipada;UNIASSELVI;
329;04/07/2023;qWDv0TmQFV;Tardia Rematrícula 01;UNIASSELVI;
330;06/07/2023;AuVxmJq5kN;agendamento_provas_202307323004;UNIASSELVI;
331;06/07/2023;roCsoezmrA;Aceite de contrato - Onboarding 01;UNIASSELVI;
332;06/07/2023;jIIB2RSyMJ;Aceite de contrato - Onboarding 02;UNIASSELVI;
333;08/07/2023;sq55q3JC3X;Campanha D+3 - 07.07;UNIASSELVI;
334;11/07/2023;fTC2d1OYRf;Onboarding - 003 Contagem regressiva;UNIASSELVI;
335;11/07/2023;iqhYpWAsjN;Onboarding - 004 Contagem regressiva;UNIASSELVI;
336;12/07/2023;BfoRqFqFJN;msg_cobranca_novo;UNIASSELVI;
337;13/07/2023;ex5rX9spFL;Nutrição - Onboarding A;UNIASSELVI;
338;13/07/2023;cF0mHTY4Wp;Nutrição - Onboarding B;UNIASSELVI;
339;13/07/2023;XdA8vY4R90;msg_uniasselvi_avaliação;UNIASSELVI;
340;14/07/2023;AYcbN2TnOp;Último dia ProUni 1 Chamada 14.07;UNIASSELVI;
341;14/07/2023;0o5f1O1qBh;Msg_vencimento_202307357910;UNIASSELVI;
342;17/07/2023;HgNFuRagPq;Campanha D+3 17.07;UNIASSELVI;
343;17/07/2023;PVaHHgBS9e;Campanha D-3 17.07 N;UNIASSELVI;
344;18/07/2023;K4wwQQqCbA;Início das Aulas B - Onboarding 01;UNIASSELVI;
345;18/07/2023;YVLSj5qVmK;Início das Aulas B - Onboarding 02;UNIASSELVI;
346;18/07/2023;o0fGadXAbn;Início das Aulas B - Onboarding 03;UNIASSELVI;
347;21/07/2023;2xlM7SCscJ;D+3 Incentivada 24/07;UNIASSELVI;
348;25/07/2023;VBIIFAGH8b;uniedu_uniasselvi_25072023;UNIASSELVI;
349;25/07/2023;CIvGLgICnQ;Primeiro Encontro Técnico;UNIASSELVI;
350;25/07/2023;6bycQqyjd2;Primeiro Encontro Profissionalizante;UNIASSELVI;
351;27/07/2023;QuOaDTr1DQ;Presencial 27/07;UNIASSELVI;
352;27/07/2023;7pj9fMCSX0;D+7 WhatsApp 31.07;UNIASSELVI;
353;27/07/2023;KE5ldBbrqB;D+7 WhatsApp 27.07;UNIASSELVI;
354;27/07/2023;lKiaq0Y3zC;prorrog_boleto_27072023;UNIASSELVI;
355;28/07/2023;BW1u745xNI;Santander_bolsas;UNIASSELVI;
356;28/07/2023;SBRE3Qc0GK;D+7 WhatsApp 31.07 Sem Variavel;UNIASSELVI;
357;31/07/2023;1DSZguFqFM;Aula - Veterano Tec;UNIASSELVI;
358;31/07/2023;GrBDcOz7pd;Aula - Veterano Prof;UNIASSELVI;
359;31/07/2023;XkqfACM1xA;Novo Feirão 01 - médio credito;UNIASSELVI;
360;31/07/2023;9yN5xB1JgN;Contagem Regressiva - Onboarding 005;UNIASSELVI;
361;31/07/2023;tDAUriof1L;Grad EAD - Incentivada 50% 3107;UNIASSELVI;
362;31/07/2023;tI9ALIFDHR;bot_qualificacao_salesforce01;UNIASSELVI;
363;02/08/2023;zM2GwXT4jd;prorrogacao_boleto_02082023;UNIASSELVI;
364;02/08/2023;er0646bH6J;D+7 Incentivada 07.08;UNIASSELVI;
365;02/08/2023;mU0sOosfED;bolsa_uniedu_ultimodia_02082023;UNIASSELVI;
366;08/08/2023;mSbn3fOSqb;Cursos de Licenciatura 08.08;UNIASSELVI;
367;08/08/2023;TRS4fzvipo;Aniversário de RN 08.08;UNIASSELVI;
368;09/08/2023;TZP51TuR4L;errata_feirao_cobranca_09082023_01;UNIASSELVI;
369;09/08/2023;hhmqdvOhiz;errata_feirao_cobranca_09082023_02;UNIASSELVI;
370;10/08/2023;iEtXXUXPYn;Onboarding - Atividades 001;UNIASSELVI;
371;10/08/2023;w26MmXjsAo;Boleto vencido - Polos Próprios;UNIASSELVI;
372;10/08/2023;vVgSBcGAUh;Boleto a vencer - Polos Próprios;UNIASSELVI;
373;11/08/2023;NouWqVrQ6b;INSCRITOS TÉC/PROF DESCONTO + VANTAGENS;UNIASSELVI;
374;11/08/2023;N1Y56drpdx;Requentado Score Maior 11.08;UNIASSELVI;
375;11/08/2023;MTGWeGhi1O;D+7 Incentivada 14.08;UNIASSELVI;
376;14/08/2023;B1dJkXwbQw;Oportundiade Incentivada 14.08;UNIASSELVI;
377;14/08/2023;3QtFr0uEg6;UNIEDU - 2ª JANELA DE RENOVAÇÃO;UNIASSELVI;
378;14/08/2023;zglDAUN32V;FEIRÃO - ALTO CREDITO;UNIASSELVI;
379;14/08/2023;Uv8MySACP1;MEDIO CREDITO - FEIRÃO;UNIASSELVI;
380;19/04/2024;ziTnEbewF0;U-EAD-PRO-CAPT-LeadsTecProfSemOferta;UNIASSELVI;
381;19/04/2024;eE7cOSUXqD;U-EAD-POS-CAPT-TccOptativo;UNIASSELVI;
382;19/04/2024;YiTno0pDG0;U-EAD-POS-CAPT-BolsaPromocional;UNIASSELVI;
383;19/04/2024;bi3Zw7YQdF;U-EAD-PRO-CAPT-ProfissionalizantesLeads;UNIASSELVI;
384;18/04/2024;848a5huSgU;U-EAD-PRO-CAPT-NãoConvertidosLeads;UNIASSELVI;
385;18/04/2024;Vkouiz4Fhe;U-EAD-GRAD-CAPT-1Pago;UNIASSELVI;
386;18/04/2024;FKg61TizJ5;U-EAD-GRAD-CAPT-1Gratis;UNIASSELVI;
387;18/04/2024;5FjojAHZxa;U-EAD-TEC-CAPT-NãoConvertidosEdital;UNIASSELVI;
388;18/04/2024;70r4wE1Saa;U-EAD-CAPT-POS-Vencidos2024;UNIASSELVI;
389;17/04/2024;1izdBtT62l;R - Ação Movva 3;UNIASSELVI;
390;17/04/2024;Id3l2hfmyo;R-EAD-POS-CAPT-Formados;UNIASSELVI;
391;17/04/2024;C5arEZGrts;U-PRES_GRAD_CAPT - Inscritos - SG/BLU;UNIASSELVI;
392;16/04/2024;OUmaEZrd3e;U-EAD-PRO-CAPT-LeadsProfeTec;UNIASSELVI;
393;15/04/2024;FTrYl6BBfc;R - Feirão_Vencidos;UNIASSELVI;
394;15/04/2024;DjNmH5DIuD;R-EAD-POS-CAPT-Formados2;UNIASSELVI;
395;15/04/2024;mybAQAafXH;U-EAD-PRO-CAPT-CursosLivres;UNIASSELVI;
396;15/04/2024;5Ei7awEx9v;Cobrança 1 c/ horário;UNIASSELVI;
397;15/04/2024;0EjfsQQavy;U_EAD_Novos-cursos_15042024_202404142733;UNIASSELVI;
398;13/04/2024;qKuNHsXXCZ;R-EAD-POS-CAPT-VencidosReforço;UNIASSELVI;
399;12/04/2024;NsrEAuA6iS;U-EAD-PRO-CAPT-NaoConvertidosAbril;UNIASSELVI;
400;12/04/2024;BmlEWo9fr7;U-EAD-POS-CAPT-IndicaçãoPremiada;UNIASSELVI;
401;12/04/2024;1xJa67Hcag;U_EAD2_Oferta-vigente_Gratis_12042024;UNIASSELVI;
402;12/04/2024;GxDZHnC6Xh;U_EAD1_Oferta-vigente_Pago_12042024;UNIASSELVI;
403;12/04/2024;M5xyL2XdKi;U_EAD_Oferta-vigente_Pago_12042024;UNIASSELVI;
404;12/04/2024;TNtIjNytyT;U_EAD_Oferta-vigente_Gratis_12042024;UNIASSELVI;
405;10/04/2024;wwmZG5Fafq;R-EAD-PRO-CAPT-PréInscritos;UNIASSELVI;
406;09/04/2024;CmXNzuMI10;R-EAD-PÓS-CAPT-BoletosDoDia;UNIASSELVI;
407;09/04/2024;eMk8Tl6KLc;R-EAD-POS-CAPT-Vencidos-2;UNIASSELVI;
408;09/04/2024;AgvLBWnGr5;U-EAD-POS-EGJ-Boas-Vindas;UNIASSELVI;
409;09/04/2024;K4WrZlr2uh;R-EAD-PÓS-CAPT-Inscritos-1;UNIASSELVI;
410;09/04/2024;NYUV15FDJ4;U-EAD-GRAD-CAPT - Não engajado;UNIASSELVI;
411;09/04/2024;voC07kp6hA;U-EAD-POS-EGJ-Cancelados;UNIASSELVI;
412;08/04/2024;jfxrG5KG1u;Erro sistêmico;UNIASSELVI;
413;08/04/2024;jg2F900Vwj;U-EAD-PROF-CAPT-PreInscritos;UNIASSELVI;
414;08/04/2024;PuGqF1Naa3;U-EAD-POS-CAPT-PreInscritos;UNIASSELVI;
415;08/04/2024;LOBSHwe5ZE;U_EAD_Oferta-vigente2_Pago_08042024;UNIASSELVI;
416;08/04/2024;2KtZH4Qlb2;U_EAD_Oferta-vigente2_Gratis_08042024;UNIASSELVI;
417;08/04/2024;XsrCMW9dlF;U_EAD_Oferta-vigente_Pago_08042024;UNIASSELVI;
418;08/04/2024;IhgXEUoQG8;U_EAD_Oferta-vigente_Gratis_08042024;UNIASSELVI;
419;05/04/2024;sija6AhLmI;EGJ - OFERTA WINBACK;UNIASSELVI;
420;05/04/2024;rmJTnaLFMF;R - Movva_Disparo_08.04;UNIASSELVI;
421;04/04/2024;5u2XvUboXN;EGJ - SEM ACEITE;UNIASSELVI;
422;04/04/2024;WxFtrcYh7g;R-EAD-TEC-CAPT-SemAceite;UNIASSELVI;
423;04/04/2024;WCSFLus12M;R-EAD-TEC-CAPT-EnsalamentoOnline;UNIASSELVI;
424;02/04/2024;8ORK72cwWX;U-CAPT-merchan-02042024;UNIASSELVI;
425;01/04/2024;Fa0JU6O4yQ;SANTANDER_FACILITA_UNIASSELVI_01.04;UNIASSELVI;
426;01/04/2024;TamnRRCWEO;FUMDES_DISPARO 01/04;UNIASSELVI;
427;28/03/2024;O70R1um9gB;U-EAD-POS-CAPT-UltimaChanceDesconto;UNIASSELVI;
428;27/03/2024;3nnsKxGcSW;U-EAD-PROF-CAPT-TempoSeEsgotando;UNIASSELVI;
429;27/03/2024;nGqhILBvrC;U-EAD-POS-CAPT-VencidosPós;UNIASSELVI;
430;27/03/2024;5dj65aVbCd;U-EAD-POS-CAPT-NãoConvertidosPós;UNIASSELVI;
431;26/03/2024;QMjROlWmsm;U-EAD-PROF-CAPT-UltimosDiasOferta;UNIASSELVI;
432;26/03/2024;HmDhosAhQw;Matriculados_FUMDES_26.03.24;UNIASSELVI;
433;25/03/2024;9CqsHmpTzl;INCENTIVANDO AS INSCRIÇÕES - FUMDES_2503;UNIASSELVI;
434;23/03/2024;pJjFnJnCr9;U-EAD-PROF-CAPT-SemIntOferta;UNIASSELVI;
435;23/03/2024;JzQyuYkFXK;R-EAD-POS-CAPT-ReforçoPréInscritos;UNIASSELVI;
436;23/03/2024;qi5QfD2R1y;R-PRO-CAPT-Inscritosdia(-1);UNIASSELVI;
437;22/03/2024;haK5MVEQ4C;R - 001 Movva;UNIASSELVI;
438;22/03/2024;EJuPD5aAad;R - Movva 002;UNIASSELVI;
439;20/03/2024;n4U9qU4HRF;R-Inscritos-Pos-Graduacao-Bol-Vencido;UNIASSELVI;
440;19/03/2024;LtbscIZPq5;PÓS - FORMADOS NÃO CONVERTIDOS;UNIASSELVI;
441;19/03/2024;anOunpWxdV;FUMDES PRESENCIAL LAGES_19.03.24;UNIASSELVI;
442;18/03/2024;VM5vq5Dila;Renovação_FUMDES01 - 19.03;UNIASSELVI;
443;18/03/2024;1282VszZnK;R - CSC_Cobrança;UNIASSELVI;
444;16/03/2024;ylUgB4sJ09;TÉC PROF AÇÃO SEM INTERAÇÃO;UNIASSELVI;
445;14/03/2024;BY0CxWLcu6;PÓS DESCONTO DIA DO CONSUMIDOR 60;UNIASSELVI;
446;14/03/2024;4IfGLJ6JYD;Santander_disparo;UNIASSELVI;
447;14/03/2024;f49D1YqPR7;PÓS - DIA DO CONSUMIDOR;UNIASSELVI;
448;14/03/2024;ZZ3ekTw0AA;PROF - DIA DO CONSUMIDOR;UNIASSELVI;
449;13/03/2024;Mi2r9Kt2Iy;EGJ - SEM AGENDAMENTO;UNIASSELVI;
450;12/03/2024;JwP0ahoK1V;Não Engajado - CC;UNIASSELVI;
451;12/03/2024;VRSZ3hwK28;VENCIDOS/A VENCER DIGITAL;UNIASSELVI;
452;11/03/2024;6K5fV8nfL4;EGJ AV2 AGENDADA;UNIASSELVI;
453;11/03/2024;viaO5nyfSF;Incentivadas_Tecnico_EdAtual_D-1_1103;UNIASSELVI;
454;06/03/2024;kweYY4Ndbr;Projeto Sofia - Bioquímica Básica_0603;UNIASSELVI;
455;06/03/2024;ks59GGC8Lp;TÉC/PROF - INSCRITOS DO DIA (DIÁRIO);UNIASSELVI;
456;05/03/2024;hlVFVBRGYq;UNIEDU-Ren_Ainda_Não_Enviou-02_0503;UNIASSELVI;
457;05/03/2024;6Sr1cwubde;UNIEDU-Ren_Já_Enviou_Regulariza_0503;UNIASSELVI;
458;05/03/2024;3BH7uVtkC8;UNIEDU-Ren_Ainda_Não_Enviou_0503;UNIASSELVI;
459;05/03/2024;MoFE5VtuGN;EGJ LIVE É HJ TEC;UNIASSELVI;
460;05/03/2024;STBMJ6KiiL;EGJ É HJ LIVE PROF;UNIASSELVI;
461;04/03/2024;juJMePpgxo;UNIEDU-aluno_ainda_não_enviou_Presencial;UNIASSELVI;
462;04/03/2024;TQAWDVyMGN;UNIEDU-aluno que já enviou e precisa reg;UNIASSELVI;
463;04/03/2024;MsakQEHW7P;UNIEDU-Renovação aluno ainda não enviou;UNIASSELVI;
464;04/03/2024;KfVYwfbbJV;Medidas e Avaliação em Educação Física;UNIASSELVI;
465;04/03/2024;7ahVzaMwGy;Ação_Cobrança;UNIASSELVI;
466;29/02/2024;3wNKc8HAF8;PÓS - ÚLTIMAS HORAS (29 FEV);UNIASSELVI;
467;27/02/2024;KBWIozoLOm;PÓS - OFERTA RELÂMPAGO (NOVA);UNIASSELVI;
468;27/02/2024;VvpLC4AAlw;PROF - OFERTA RELÂMPAGO (NOVA);UNIASSELVI;
469;27/02/2024;TE8X7f6RyU;RL - Rematrícula Cursos VETERANOS;UNIASSELVI;
470;27/02/2024;Z2PCfdwZxp;HSM02_Dia04_Jornada_LeadsPresencial;UNIASSELVI;
471;27/02/2024;gbrb2i9ISL;HSM01_Dia02_Jornada_LeadsPresencial;UNIASSELVI;
472;26/02/2024;xltttOPyJz;PROF - LP E LIVRES (AÇÕES);UNIASSELVI;
473;23/02/2024;E0yRiIIT0Z;Cobrança_acordos_vencidos_Feirão;UNIASSELVI;
474;22/02/2024;dkInz2oUeJ;PROF - DIA D (25 ANOS UNIASSELVI);UNIASSELVI;
475;22/02/2024;JNRsFaPYdw;PÓS - DIA D (25 ANOS UNIASSELVI);UNIASSELVI;
476;22/02/2024;K2UZBW1JoH;R-Inscritos-Profissionalizantes-D5;UNIASSELVI;
477;22/02/2024;cmi6w7AzEd;R-Inscritos-Profissionalizantes-D1;UNIASSELVI;
478;22/02/2024;ks3dkfuHYx;R-Inscritos-Profissionalizantes-D0;UNIASSELVI;
479;22/02/2024;zbhvdtYVFw;ERRATA:Incentivados_Tecnico_Abaixo15dias;UNIASSELVI;
480;22/02/2024;tYSX5vDEQM;R-Pre-Inscritos-Profissionalizantes-D5;UNIASSELVI;
481;22/02/2024;gtMTDkUfwR;R-Pre-Inscritos-Profissionalizantes-D2;UNIASSELVI;
482;22/02/2024;wihs1kEKrP;R-Pre-Inscritos-Profissionalizantes-D1;UNIASSELVI;
483;22/02/2024;ocz4hYqfSn;R-Pre-Inscritos-Profissionalizantes-D0;UNIASSELVI;
484;22/02/2024;tMKpLZTegc;Incentivados_Tecnico_Abaixo15dias;UNIASSELVI;
485;21/02/2024;jmrGEMgrDz;Formação_de_turma;UNIASSELVI;
486;21/02/2024;LQHZHr16pm;R-Inscritos-Tecnicos-D2;UNIASSELVI;
487;21/02/2024;aC61z3pcDV;R-Inscritos-Tecnicos-D1;UNIASSELVI;
488;21/02/2024;GZrkdD0NnQ;R-Inscritos-Tecnicos-D0;UNIASSELVI;
489;21/02/2024;ZcozpEECIT;Célula_Onboarding;UNIASSELVI;
490;20/02/2024;dnksbBtLMA;R-Pre-Inscritos-Tecnicos-D5;UNIASSELVI;
491;20/02/2024;dClnwQIH0X;R-Pre-Inscritos-Tecnicos-D1-CORRETO;UNIASSELVI;
492;20/02/2024;OpVl1VPvmt;R-Pre-Inscritos-Tecnicos-D2;UNIASSELVI;
493;20/02/2024;jLDoRhf2QH;R-Pre-Inscritos-Tecnicos-D0;UNIASSELVI;
494;19/02/2024;rjMMb48wvy;Inscritos_Presencial_Edi20241_190224;UNIASSELVI;
495;16/02/2024;oiYjlorJeq;RL - Início das Aulas/Onboarding;UNIASSELVI;
496;15/02/2024;jA3pShOagr;É HOJE LIVE VET TECNICO;UNIASSELVI;
497;14/02/2024;HEkNRDCKwY;RL - Rematrícula Recorrente;UNIASSELVI;
498;09/02/2024;pWOIBQGVkJ;PÓS - CUPOM VIMDOINSTA;UNIASSELVI;
499;09/02/2024;wAn1jxdit9;PRÉ INSCRITOS POS DIA D;UNIASSELVI;
500;08/02/2024;YPFEJy00DA;PÓS - PESQUISA (ATUALIZADO);UNIASSELVI;
501;08/02/2024;rV1ibahRdR;FUMDES;UNIASSELVI;
502;01/02/2024;1MPorVymfU;Teste_Movva_02;UNIASSELVI;
503;01/02/2024;r7gLVm2kGm;Feirão_03;UNIASSELVI;
504;01/02/2024;ywIkWsV2D3;Feirão_02;UNIASSELVI;
505;01/02/2024;1LDFX7aENF;Feirão_01;UNIASSELVI;
506;31/01/2024;v8vGEvYauF;R-Segunda-Grad-Paralelo;UNIASSELVI;
507;24/01/2024;Vcm6Ue4bEB;R-Inscritos-Pós-Graduação-D6;UNIASSELVI;
508;24/01/2024;HPtTrViUzg;R-Inscritos-Pós-Graduação-D2;UNIASSELVI;
509;24/01/2024;Ra7ustGH5w;R-Inscritos-Pós-Graduação-D1;UNIASSELVI;
510;24/01/2024;8uLnU2IooF;R-Inscritos-Pós-Graduação-D0;UNIASSELVI;
511;24/01/2024;U0Lb0lcvWD;R-Pré-Inscritos-Pós-Graduação-D5;UNIASSELVI;
512;24/01/2024;rvFm0knCDw;R-Pré-Inscritos-Pós-Graduação-D2;UNIASSELVI;
513;24/01/2024;LBgyllwWph;R-Pré-Inscritos-Pós-Graduação-D1;UNIASSELVI;
514;24/01/2024;11hTWEBmmr;R-Pré-Inscritos-Pós-Graduação-D0;UNIASSELVI;
515;23/01/2024;GZ3FvfHzfG;R-Contact-Center-01-AUPEX-Leads;UNIASSELVI;
516;23/01/2024;IvwAStbdTo;PRÉ - BENEFIC. POLOS;UNIASSELVI;
517;23/01/2024;lQLZkNZnSZ;PÓS OFERTA 60 + MAT;UNIASSELVI;
518;19/01/2024;9RkXijvhGF;R-Contact-Center-01;UNIASSELVI;
519;18/01/2024;e2oSnwvR1Y;Jornada 2 - mensalidade não recorrente;UNIASSELVI;
520;10/01/2024;Vc7nu6lvuc;Cobrança_Vencidos_e_a_Vencer;UNIASSELVI;
521;15/12/2023;htDtYgMsel;U-Contact-Center-Geral;UNIASSELVI;
522;12/12/2023;oKjMhzZGxn;Cobrança_regularizar_débitos;UNIASSELVI;
523;06/12/2023;FFsxkYKOCU;Leads_LP_Contact_Center;UNIASSELVI;
524;24/11/2023;BePWl8CYue;Retenção - Aguadando Aceite 02;UNIASSELVI;
525;24/11/2023;jVxWqB6Dv7;Retenção - Aguardando Aceite 01 ;UNIASSELVI;
526;23/11/2023;uFRUpuTJW6;Retenção - Aluno disse NÃO a proposta;UNIASSELVI;
527;20/11/2023;tD75zOvtVj;Retenção_Jornada_Completa_;UNIASSELVI;
528;20/11/2023;lHh3Q8yEgx;Retenção 04 (D+25);UNIASSELVI;
529;20/11/2023;fLo2PeMNiC;Retenção 03 (D+15);UNIASSELVI;
530;20/11/2023;h7vV3HYfbS;Retenção 02 (D+7);UNIASSELVI;
531;20/11/2023;OyimoKbRCn;Retenção 01 - Polo;UNIASSELVI;
532;14/11/2023;9QrQnBX9CR;HSM 001 - Aulas já começaram;UNIASSELVI;
533;14/11/2023;fkYIIhfX6d;HSM 001 - Engajamento Inicial;UNIASSELVI;
534;14/11/2023;btqkZfAa9v;HSM 001 - Aceite de Contrato;UNIASSELVI;
535;09/11/2023;y75cK51yop;Onboarding - Nutrição B (001);UNIASSELVI;
536;30/10/2023;qJGN4COXH7;Oferta Especial Balcão 249$ - 30.10;UNIASSELVI;
537;27/10/2023;wjQL0mr3Lg;Oferta Especial Balcão 149$ - 27.10;UNIASSELVI;
538;24/10/2023;GXP7g2gC5t;Débitos CSC - Cobrança ;UNIASSELVI;
539;19/10/2023;QLlcxveAeb;Oportunidade dia do TI 19.10;UNIASSELVI;
540;09/09/2019;GDwkruLMjM;;UNIASSELVI;
541;09/09/2019;6grrodPs8I;;UNIASSELVI;
542;09/09/2019;Df1Bup88sc;;UNIASSELVI;
543;09/09/2019;H8bAVHOP3h;;UNIASSELVI;
544;09/09/2019;LDwOO8QTb5;;UNIASSELVI;
545;09/09/2019;8HAF61P8Jd;;UNIASSELVI;
546;09/09/2019;Brnsyt9LTD;;UNIASSELVI;
547;09/09/2019;BvicORjVks;;UNIASSELVI;
548;16/08/2019;1Ud75kpzNm;;UNIASSELVI;
549;16/08/2019;yLg0OcIewS;;UNIASSELVI;
550;16/08/2019;64YJAwZPKP;;UNIASSELVI;
551;16/08/2019;dGpCrTykRN;;UNIASSELVI;
552;16/08/2019;Q0urVapfZ9;;UNIASSELVI;
553;16/08/2019;jl7YD6k2BE;;UNIASSELVI;
554;08/08/2019;EuA0RCNEA3;;UNIASSELVI;
555;08/08/2019;V0iRaKrk2W;;UNIASSELVI;
556;08/08/2019;NStWAyKmdN;;UNIASSELVI;
557;08/08/2019;jff08JUXt5;;UNIASSELVI;
558;06/08/2019;XKw4dKCxUW;;UNIASSELVI;
559;24/07/2019;IuzDdwDtRc;;UNIASSELVI;
560;03/07/2019;FH08vM0Qc1;;UNIASSELVI;
561;03/07/2019;Xo64lfzaHU;;UNIASSELVI;
562;05/06/2019;0GM6rCJWIa;;UNIASSELVI;
563;22/04/2019,;gaW16ESxZF,;;UNIASSELVI;
